Imagen,Cluster,IoU,Ruta de salida
00424_3,5,0.0995,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00424_3_cluster5_iou0.10.png
00447_0,6,0.6304,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00447_0_cluster6_iou0.63.png
00402_0,4,0.2046,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00402_0_cluster4_iou0.20.png
00461_3,9,0.108,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00461_3_cluster9_iou0.11.png
00563_4,9,0.3146,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00563_4_cluster9_iou0.31.png
00526_4,0,0.1982,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00526_4_cluster0_iou0.20.png
00117_1,6,0.2509,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00117_1_cluster6_iou0.25.png
00583_1,5,0.1859,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00583_1_cluster5_iou0.19.png
00288_2,9,0.2717,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00288_2_cluster9_iou0.27.png
00558_2,6,0.2794,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00558_2_cluster6_iou0.28.png
00152_1,8,0.2614,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00152_1_cluster8_iou0.26.png
00309_3,2,0.2668,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00309_3_cluster2_iou0.27.png
00397_0,5,0.0519,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00397_0_cluster5_iou0.05.png
00275_2,0,0.2972,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00275_2_cluster0_iou0.30.png
00008_3,5,0.2601,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00008_3_cluster5_iou0.26.png
00174_2,7,0.2552,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00174_2_cluster7_iou0.26.png
00426_1,1,0.0439,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00426_1_cluster1_iou0.04.png
